state,police,crime,index
北海道,"10,528","41,066",1
青森県,"2,322","6,515",2
岩手県,"2,177","5,757",3
宮城県,"3,831","19,367",4
秋田県,"1,966","3,972",5
山形県,"1,990","6,178",6
福島県,"3,552","14,596",7
茨城県,"4,747","35,055",8
栃木県,"3,376","18,924",9
群馬県,"3,386","18,820",10
埼玉県,"11,335","84,154",11
東京都,"43,272","162,557",12
千葉県,"11,444","77,904",13
神奈川県,"15,523","76,962",14
新潟県,"4,125","17,320",15
山梨県,"1,659","7,461",16
長野県,"3,436","14,791",17
静岡県,"6,115","29,395",18
富山県,"1,933","6,383",19
石川県,"1,951","7,481",20
福井県,"1,709","5,285",21
岐阜県,"3,469","22,357",22
愛知県,"13,440","96,839",23
三重県,"3,033","19,726",24
滋賀県,"2,243","15,447",25
京都府,"6,493","31,944",26
大阪府,"21,275","151,413",27
兵庫県,"11,842","70,532",28
奈良県,"2,449","12,337",29
和歌山県,"2,169","9,110",30
鳥取県,"1,226","4,279",31
島根県,"1,495","4,379",32
岡山県,"3,470","19,824",33
広島県,"5,123","22,592",34
山口県,"3,105","10,292",35
徳島県,"1,535","5,818",36
香川県,"1,836","8,340",37
愛媛県,"2,436","13,598",38
高知県,"1,588","6,530",39
福岡県,"10,965","66,794",40
佐賀県,"1,694","7,509",41
長崎県,"3,042","7,318",42
熊本県,"3,067","12,836",43
大分県,"2,063","6,290",44
宮崎県,"2,008","7,997",45
鹿児島県,"3,004","9,276",46
沖縄県,"2,594","10,820",47
