,警察官定員,刑法犯認知件数
北海道,"10,528","41,066"
青森県,"2,322","6,515"
岩手県,"2,177","5,757"
宮城県,"3,831","19,367"
秋田県,"1,966","3,972"
山形県,"1,990","6,178"
福島県,"3,552","14,596"
茨城県,"4,747","35,055"
栃木県,"3,376","18,924"
群馬県,"3,386","18,820"
埼玉県,"11,335","84,154"
東京都,"43,272","162,557"
千葉県,"11,444","77,904"
神奈川県,"15,523","76,962"
新潟県,"4,125","17,320"
山梨県,"1,659","7,461"
長野県,"3,436","14,791"
静岡県,"6,115","29,395"
富山県,"1,933","6,383"
石川県,"1,951","7,481"
福井県,"1,709","5,285"
岐阜県,"3,469","22,357"
愛知県,"13,440","96,839"
三重県,"3,033","19,726"
滋賀県,"2,243","15,447"
京都府,"6,493","31,944"
大阪府,"21,275","151,413"
兵庫県,"11,842","70,532"
奈良県,"2,449","12,337"
和歌山県,"2,169","9,110"
鳥取県,"1,226","4,279"
島根県,"1,495","4,379"
岡山県,"3,470","19,824"
広島県,"5,123","22,592"
山口県,"3,105","10,292"
徳島県,"1,535","5,818"
香川県,"1,836","8,340"
愛媛県,"2,436","13,598"
高知県,"1,588","6,530"
福岡県,"10,965","66,794"
佐賀県,"1,694","7,509"
長崎県,"3,042","7,318"
熊本県,"3,067","12,836"
大分県,"2,063","6,290"
宮崎県,"2,008","7,997"
鹿児島県,"3,004","9,276"
沖縄県,"2,594","10,820"
